Block No	Threads	Block Size	Seq. Time	iBTM Time
14004635	14	436	13.063074ms	5.580639ms
14004651	14	106	2.559904ms	1.300797ms
14004653	14	435	11.862292ms	4.820257ms
14004713	14	132	3.304465ms	1.74503ms
14004715	14	81	2.151112ms	2.236604ms
14004782	14	373	9.80557ms	3.692699ms
14004788	14	53	1.719818ms	1.728899ms
14004792	14	350	14.160731ms	6.676186ms
14004794	14	207	10.325081ms	3.636972ms
14004810	14	137	2.67181ms	1.695226ms
14004814	14	30	1.198111ms	1.214694ms
14004832	14	23	104.215µs	103.801µs
14004833	14	205	7.683525ms	3.111935ms
14004850	14	253	5.674038ms	2.830812ms
14004854	14	62	2.918802ms	2.140192ms
14004861	14	177	5.64649ms	3.242154ms
14004890	14	322	7.666297ms	5.582572ms
14004892	14	154	2.770113ms	1.625531ms
14004894	14	88	4.475075ms	3.527836ms
14004977	14	104	2.798116ms	1.464259ms
14004983	14	185	6.048382ms	2.424771ms
21631009	14	177	5.827581ms	2.280854ms
21631021	14	149	6.570803ms	6.670087ms
21631037	14	221	7.015215ms	3.068662ms
21631051	14	108	7.083334ms	5.852473ms
21631060	14	243	9.88289ms	3.959439ms
21631065	14	249	8.301201ms	3.563372ms
21631115	14	174	7.840197ms	3.337008ms
21631117	14	166	6.481116ms	2.197008ms
21631144	14	157	8.848144ms	3.215011ms
21631187	14	157	6.590084ms	3.543678ms
21631212	14	139	5.347879ms	2.34529ms
21631225	14	176	6.50318ms	2.781231ms
21631228	14	169	6.464991ms	2.395001ms
21631256	14	177	6.52934ms	3.018145ms
21631258	14	161	6.450104ms	2.607185ms
21631269	14	147	5.099492ms	2.153739ms
21631299	14	69	1.28861ms	1.299144ms
21631322	14	182	5.772912ms	2.985814ms
21631328	14	162	8.856545ms	3.514383ms
21631329	14	133	5.313615ms	2.375695ms
21631341	14	116	6.165384ms	4.311324ms
21631361	14	251	13.262144ms	10.344021ms
21631375	14	215	9.734614ms	3.622413ms
21631381	14	213	7.73327ms	2.555331ms
