Block No	Threads	Tx Count	Execution Time (ms)	Success Rate
21633427	16	273	2.10	100.0%
21633435	16	165	1.43	100.0%
21633484	16	152	1.42	99.3%
21633486	16	315	2.91	99.7%
21633492	16	157	1.80	100.0%
21633508	16	256	1.96	100.0%
21633509	16	89	0.84	100.0%
21633666	16	230	1.78	100.0%
21633673	16	163	1.53	100.0%
21633675	16	230	3.00	100.0%
21633709	16	232	2.38	100.0%
21633726	16	146	1.29	100.0%
21633728	16	267	4.73	100.0%
21633737	16	121	2.05	100.0%
21633746	16	111	0.95	100.0%
21633768	16	144	1.13	100.0%
21633769	16	66	0.87	100.0%
21633784	16	200	1.57	100.0%
21633786	16	174	2.41	100.0%
21633795	16	226	1.80	100.0%
21633808	16	135	1.16	100.0%
21633813	16	154	1.23	100.0%
21633814	16	185	1.54	100.0%
21633847	16	121	1.26	100.0%
21633875	16	222	1.65	100.0%
21633882	16	141	1.32	100.0%
21633905	16	123	0.97	100.0%
21633946	16	124	1.02	99.2%
21633989	16	180	2.63	100.0%
21634017	16	167	2.16	100.0%
21634069	16	53	0.52	100.0%
21634083	16	149	1.30	100.0%
21634092	16	179	1.39	100.0%
21634098	16	212	2.85	100.0%
21634102	16	144	1.38	100.0%
21634122	16	220	2.10	100.0%
21634175	16	161	1.34	100.0%
21634192	16	180	1.58	100.0%
21634221	16	250	1.96	100.0%
21634230	16	95	0.90	100.0%
21634260	16	67	0.65	100.0%
21634268	16	114	1.08	100.0%
21634286	16	236	1.80	100.0%
21634302	16	138	1.24	100.0%
21634304	16	210	1.76	100.0%
21634340	16	224	1.88	100.0%
21634352	16	163	1.27	100.0%
21634353	16	169	1.46	100.0%
21634380	16	121	0.95	100.0%
21634401	16	84	1.28	100.0%
21634431	16	154	1.39	100.0%
21634433	16	277	2.77	100.0%
21634458	16	176	1.50	100.0%
21634472	16	122	0.97	100.0%
21634535	16	261	3.00	100.0%
21634556	16	124	1.00	100.0%
21634572	16	286	2.41	100.0%
21634577	16	120	0.97	100.0%
21634596	16	193	1.67	100.0%
21634625	16	76	0.60	100.0%
21634653	16	179	1.50	100.0%
21634669	16	222	1.80	100.0%
21634706	16	70	0.93	100.0%
21634833	16	221	1.77	100.0%
21634835	16	140	1.34	100.0%
21634843	16	97	0.74	100.0%
21634858	16	127	0.98	100.0%
21634866	16	138	1.21	100.0%
21634904	16	251	2.17	100.0%
21634921	16	196	1.57	100.0%
21634944	16	152	1.31	100.0%
21634982	16	116	2.23	100.0%
21634995	16	144	2.24	100.0%
21634999	16	160	1.27	100.0%
21635020	16	137	1.11	100.0%
21635102	16	134	1.20	100.0%
21635113	16	83	0.67	100.0%
21635126	16	270	2.29	100.0%
21635191	16	177	1.45	100.0%
21635197	16	183	1.59	100.0%
21635210	16	208	1.88	100.0%
21635218	16	159	1.26	100.0%
21635219	16	183	2.56	100.0%
21635250	16	240	2.14	100.0%
21635266	16	186	2.15	100.0%
21635291	16	159	1.28	100.0%
21635293	16	164	1.46	99.4%
21635301	16	166	1.33	100.0%
21635302	16	177	2.50	100.0%
21635310	16	268	2.14	100.0%
21635313	16	188	1.52	100.0%
21635314	16	144	1.16	100.0%
21635336	16	211	1.82	100.0%
21635377	16	186	1.72	100.0%
21635382	16	151	1.20	100.0%
21635385	16	180	1.28	100.0%
21635386	16	101	1.47	100.0%
21635395	16	149	1.17	100.0%
21635408	16	171	1.41	100.0%
21635429	16	153	1.20	100.0%
21635432	16	167	1.33	100.0%
21635556	16	229	1.94	100.0%
21635575	16	172	1.64	100.0%
21635592	16	159	2.12	100.0%
21635600	16	378	4.32	100.0%
21635601	16	64	0.57	100.0%
21635613	16	19	0.27	100.0%
21635652	16	157	1.46	100.0%
21635667	16	119	1.39	100.0%
21635672	16	136	1.44	100.0%
21635675	16	170	1.39	100.0%
21635693	16	221	2.57	100.0%
21635704	16	190	1.60	100.0%
21635757	16	453	3.95	100.0%
21635787	16	185	1.68	100.0%
21635834	16	123	1.47	99.2%
21635867	16	118	1.10	99.2%
21635882	16	275	2.42	100.0%
21635925	16	146	1.35	100.0%
21635932	16	284	2.37	100.0%
21635946	16	104	0.98	100.0%
21635963	16	190	1.54	100.0%
