Block No	Threads	Tx Count	Execution Time (ms)	Success Rate
18000420	16	145	2.57	0.0%
18000421	16	136	2.06	0.0%
18000422	16	166	2.73	0.0%
18000423	16	131	2.82	0.0%
18000424	16	117	2.80	0.0%
18000425	16	157	3.09	0.0%
18000426	16	138	2.32	0.0%
18000427	16	155	2.05	0.0%
18000428	16	160	2.40	0.0%
18000429	16	118	2.07	0.0%
18000430	16	137	2.55	0.0%
18000431	16	132	1.43	0.0%
18000432	16	133	2.76	0.0%
18000433	16	182	5.72	0.0%
18000434	16	84	1.63	0.0%
18000435	16	205	5.51	0.0%
18000436	16	124	1.25	0.0%
18000437	16	149	1.76	0.0%
18000438	16	109	4.08	0.0%
18000439	16	121	2.59	0.0%
18000440	16	130	2.98	0.0%
18000441	16	134	3.01	0.0%
18000442	16	162	2.43	0.0%
18000443	16	115	2.41	0.0%
18000444	16	135	2.49	0.0%
18000445	16	124	2.30	0.0%
18000446	16	128	1.94	0.0%
18000447	16	170	3.21	0.0%
18000448	16	159	2.42	0.0%
18000449	16	163	2.26	0.0%
18000450	16	132	2.86	0.0%
18000451	16	149	2.02	0.0%
18000452	16	144	2.06	0.0%
18000453	16	141	3.54	0.0%
18000454	16	112	2.27	0.0%
18000455	16	109	4.11	0.0%
18000456	16	166	2.62	0.0%
18000457	16	119	1.62	0.0%
18000458	16	187	3.29	0.0%
18000459	16	120	2.02	0.0%
18000460	16	131	2.20	0.0%
18000461	16	102	1.69	0.0%
18000462	16	145	3.04	0.0%
18000463	16	162	2.18	0.0%
18000464	16	129	1.71	0.0%
18000465	16	211	3.97	0.0%
18000466	16	111	2.31	0.0%
18000467	16	161	3.65	0.0%
18000468	16	136	1.36	0.0%
18000469	16	115	2.55	0.0%
18000470	16	175	4.87	0.0%
18000471	16	131	1.87	0.0%
18000472	16	135	2.87	0.0%
18000473	16	125	2.82	0.0%
18000474	16	132	2.14	0.0%
18000475	16	193	2.70	0.0%
18000476	16	148	2.16	0.0%
18000477	16	176	3.17	0.0%
18000478	16	131	2.19	0.0%
18000479	16	149	2.40	0.0%
18000480	16	152	2.18	0.0%
18000481	16	158	3.97	0.0%
18000482	16	153	2.12	0.0%
18000483	16	128	2.10	0.0%
18000484	16	146	3.52	0.0%
18000485	16	146	2.62	0.0%
18000486	16	105	1.65	0.0%
18000487	16	195	2.58	0.0%
18000488	16	136	2.47	0.0%
18000489	16	167	1.96	0.0%
18000490	16	123	2.78	0.0%
18000491	16	148	1.88	0.0%
18000492	16	450	4.32	0.0%
18000493	16	212	3.21	0.0%
18000494	16	181	2.32	0.0%
18000495	16	173	2.53	0.0%
18000496	16	150	3.60	0.0%
18000497	16	146	2.08	0.0%
18000498	16	137	1.81	0.0%
18000499	16	179	2.62	0.0%
