Block No	Threads	Block Size	Seq. Time	iBTM Time
21632220	16	173	21.472168ms	13.817765ms
21632248	16	202	14.558787ms	4.484217ms
21632264	16	148	8.194616ms	3.181072ms
21632277	16	97	3.767773ms	1.749648ms
21632280	16	227	32.845594ms	11.68226ms
21632289	16	228	19.792012ms	4.786782ms
21632301	16	146	13.883775ms	3.843431ms
21632302	16	161	16.909412ms	4.740548ms
21632321	16	191	17.202026ms	6.880106ms
21632323	16	234	25.380591ms	10.85883ms
21632374	16	114	10.303593ms	6.209531ms
21632388	16	215	16.072956ms	4.18201ms
21632427	16	298	25.658318ms	7.00021ms
21632465	16	183	19.867559ms	5.693376ms
21632495	16	244	21.494685ms	5.10115ms
21632496	16	179	15.465875ms	7.211886ms
21632524	16	166	21.276032ms	15.920439ms
21632539	16	202	23.170561ms	26.992287ms
21632612	16	131	17.634109ms	7.399337ms
21632615	16	192	20.563811ms	7.655414ms
21632635	16	333	32.469528ms	7.071952ms
21632663	16	181	22.817709ms	14.983688ms
21632673	16	200	20.572355ms	5.87017ms
21632677	16	167	14.222726ms	3.095877ms
21632679	16	167	16.394245ms	5.650282ms
21632693	16	188	22.140396ms	7.810485ms
21632751	16	225	20.063166ms	12.093809ms
21632761	16	53	2.872764ms	2.871091ms
21632835	16	181	15.841463ms	5.683793ms
21632879	16	137	38.274681ms	26.073348ms
21632889	16	230	23.696753ms	5.916703ms
21632907	16	134	15.783351ms	4.659118ms
21632935	16	168	26.533965ms	11.334325ms
21632952	16	129	10.820297ms	3.664613ms
21632980	16	170	18.159477ms	6.121734ms
21632995	16	248	35.311942ms	14.592036ms
21633042	16	248	23.696943ms	10.195581ms
21633064	16	131	14.172973ms	5.590469ms
21633074	16	188	14.317303ms	4.70528ms
21633101	16	203	22.209671ms	7.878961ms
21633103	16	175	17.934722ms	4.605677ms
21633114	16	209	23.711951ms	6.617214ms
21633122	16	130	16.915563ms	4.781864ms
21633146	16	156	12.108243ms	4.729696ms
21633163	16	243	28.492825ms	7.12586ms
21633186	16	199	18.169407ms	4.763449ms
21633207	16	161	13.907883ms	4.313422ms
21633212	16	80	19.245115ms	15.406446ms
21633243	16	237	22.472487ms	6.062702ms
21633254	16	141	21.410561ms	7.066595ms
21633268	16	192	18.091176ms	4.438366ms
21633342	16	174	18.038345ms	7.997138ms
21633351	16	173	17.113635ms	4.750115ms
21633376	16	160	18.224517ms	6.056183ms
21633394	16	245	22.178163ms	7.84518ms
21633416	16	202	17.857815ms	4.241498ms
21633427	16	273	21.400218ms	4.339025ms
21633435	16	165	13.694037ms	5.645526ms
21633484	16	152	17.797109ms	4.985376ms
21633486	16	315	30.201701ms	7.140986ms
21633492	16	157	13.516712ms	4.288416ms
21633508	16	256	24.169719ms	6.185206ms
21633509	16	89	8.01342ms	2.551975ms
21633666	16	230	19.58053ms	5.824454ms
21633673	16	163	20.970017ms	6.886295ms
21633675	16	230	17.731203ms	3.361197ms
21633709	16	232	13.393769ms	10.640771ms
21633726	16	146	13.928142ms	4.057552ms
21633728	16	267	27.444785ms	5.856844ms
21633737	16	121	16.623145ms	8.676379ms
21633746	16	111	11.189929ms	2.551842ms
21633768	16	144	13.717257ms	5.987904ms
21633769	16	66	7.100717ms	3.94584ms
21633784	16	200	29.665948ms	7.041701ms
21633786	16	174	22.825459ms	7.147094ms
21633795	16	226	24.716433ms	5.950233ms
21633808	16	135	13.971324ms	4.270237ms
21633813	16	154	16.544881ms	6.655893ms
21633814	16	185	24.868397ms	6.145719ms
21633847	16	121	13.447953ms	3.025901ms
21633875	16	222	22.048002ms	5.636933ms
21633882	16	141	19.001877ms	7.078854ms
21633905	16	123	16.449701ms	3.622806ms
21633946	16	124	6.180849ms	2.757825ms
21633989	16	180	18.889826ms	3.973418ms
21634017	16	167	22.026427ms	7.992638ms
21634069	16	53	9.200542ms	3.4544ms
21634083	16	149	12.960855ms	4.158834ms
21634092	16	179	17.238399ms	3.738497ms
21634098	16	212	23.811578ms	6.407019ms
21634102	16	144	15.981616ms	5.173131ms
21634122	16	220	27.47907ms	6.738182ms
21634175	16	161	18.114845ms	5.298025ms
21634192	16	180	23.353865ms	5.605119ms
21634221	16	250	27.568164ms	7.341102ms
21634230	16	95	10.67094ms	5.008685ms
21634260	16	67	42.696022ms	34.52206ms
21634268	16	114	12.269476ms	4.200434ms
21634286	16	236	25.874952ms	7.630647ms
21634302	16	138	15.926383ms	5.150232ms
21634304	16	210	26.166103ms	9.28143ms
21634340	16	224	22.476955ms	5.886275ms
21634352	16	163	18.410775ms	11.579091ms
21634353	16	169	15.509738ms	3.311062ms
21634380	16	121	13.155022ms	4.236452ms
21634401	16	84	7.299149ms	2.244246ms
21634431	16	154	19.612621ms	4.857732ms
21634433	16	277	28.995955ms	11.127546ms
21634458	16	176	37.564626ms	22.487239ms
21634472	16	122	14.313184ms	4.491716ms
21634535	16	261	24.523711ms	5.576284ms
21634556	16	124	12.844024ms	3.525985ms
21634572	16	286	28.407947ms	6.855913ms
21634577	16	120	20.615831ms	8.565638ms
21634596	16	193	26.889204ms	12.525235ms
21634625	16	76	8.743263ms	3.689188ms
21634653	16	179	21.389799ms	5.211032ms
21634669	16	222	21.019417ms	6.089118ms
21634706	16	70	5.078116ms	2.557675ms
21634833	16	221	32.53189ms	12.232352ms
21634835	16	140	18.174718ms	5.164916ms
21634843	16	97	3.598303ms	1.646417ms
21634858	16	127	13.645134ms	3.426401ms
21634866	16	138	18.016589ms	4.128972ms
21634904	16	251	28.130669ms	7.689423ms
21634921	16	196	15.974291ms	3.775136ms
21634944	16	152	17.618676ms	4.417047ms
21634982	16	116	15.724794ms	5.196638ms
21634995	16	144	16.367377ms	3.788023ms
21634999	16	160	18.905288ms	3.74548ms
21635020	16	137	18.736293ms	4.360262ms
21635102	16	134	14.998693ms	5.0059ms
21635113	16	83	8.259711ms	2.763492ms
21635126	16	270	23.550577ms	5.460853ms
21635191	16	177	19.865045ms	4.895168ms
21635197	16	183	23.321532ms	5.37777ms
21635210	16	208	25.999665ms	10.519806ms
21635218	16	159	14.976898ms	2.997829ms
21635219	16	183	16.963495ms	5.629519ms
21635250	16	240	37.480028ms	9.642944ms
21635266	16	186	26.82615ms	11.412148ms
21635291	16	159	17.15539ms	3.687251ms
21635293	16	164	18.161631ms	4.45666ms
21635301	16	166	19.269993ms	4.107216ms
21635302	16	177	22.627438ms	8.632512ms
21635310	16	268	31.405668ms	8.93089ms
21635313	16	188	21.239887ms	6.999595ms
21635314	16	144	18.221661ms	6.902473ms
21635336	16	211	27.550743ms	12.299708ms
21635377	16	186	43.370861ms	20.109901ms
21635382	16	151	20.565504ms	5.478802ms
21635385	16	180	12.743868ms	3.860287ms
21635386	16	101	18.586482ms	5.393301ms
21635395	16	149	18.898356ms	4.754478ms
21635408	16	171	24.143777ms	7.380437ms
21635429	16	153	19.214355ms	4.829222ms
21635432	16	167	20.0153ms	4.228929ms
21635556	16	229	30.752548ms	8.544974ms
21635575	16	172	24.579471ms	5.567767ms
21635592	16	159	22.962414ms	7.920237ms
21635600	16	378	29.33466ms	6.332228ms
21635601	16	64	21.372198ms	16.180785ms
21635613	16	19	21.375693ms	17.225082ms
21635652	16	157	13.183324ms	3.676994ms
21635667	16	119	15.53268ms	3.46974ms
21635672	16	136	14.787731ms	3.356012ms
21635675	16	170	23.045114ms	8.500981ms
21635693	16	221	16.060618ms	3.680612ms
21635704	16	190	25.753491ms	7.981889ms
21635757	16	453	26.900285ms	7.897278ms
21635787	16	185	21.173853ms	4.881013ms
21635834	16	123	15.104286ms	4.585803ms
21635867	16	118	12.782721ms	6.030743ms
21635882	16	275	24.721327ms	4.617245ms
21635925	16	146	18.881857ms	6.37665ms
21635932	16	284	32.942281ms	7.958909ms
21635946	16	104	8.12241ms	2.940686ms
21635963	16	190	21.61845ms	4.64957ms
