Block No	Threads	Block Size	Seq. Time	iBTM Time
14004267	14	60	1.817784ms	841.634µs
14004274	14	443	11.793674ms	3.241145ms
14004292	14	115	3.501852ms	1.62187ms
14004313	14	190	5.82041ms	1.813309ms
14004318	14	0	325ns	330ns
14004321	14	66	2.049985ms	849.538µs
14004354	14	337	12.037271ms	3.708772ms
14004401	14	119	3.307745ms	1.101175ms
14004429	14	47	862.95µs	848.146µs
14004462	14	98	2.200577ms	969.375µs
14004483	14	388	9.488209ms	2.697629ms
14004522	14	690	7.437248ms	5.66086ms
14004524	14	118	2.912496ms	953.188µs
14004529	14	192	4.716156ms	1.673703ms
14004558	14	340	13.605363ms	6.285515ms
14004559	14	99	2.549535ms	1.068879ms
14004565	14	100	4.571174ms	13.109034ms
14004574	14	472	8.653117ms	5.825755ms
14004599	14	170	5.296864ms	2.862597ms
14004635	14	436	12.492243ms	4.260519ms
14004651	14	106	2.441004ms	818.954µs
14004653	14	435	11.33337ms	3.912001ms
14004713	14	132	3.336596ms	1.339288ms
14004715	14	81	1.648505ms	673.255µs
14004782	14	373	9.246978ms	2.70912ms
14004788	14	53	1.644365ms	1.622153ms
14004792	14	350	13.233267ms	4.52657ms
14004794	14	207	8.997565ms	2.280729ms
14004810	14	137	2.536376ms	1.419373ms
14004814	14	30	1.136223ms	1.129849ms
14004832	14	23	100.228µs	92.105µs
14004833	14	205	7.166992ms	2.067777ms
14004850	14	253	5.168426ms	1.921446ms
14004854	14	62	2.810635ms	1.313602ms
14004861	14	177	5.373837ms	2.176571ms
14004890	14	322	7.290839ms	3.580577ms
14004892	14	154	2.64921ms	1.47978ms
14004894	14	88	4.457405ms	3.025668ms
14004977	14	104	2.832848ms	1.050176ms
14004983	14	185	6.122325ms	1.727312ms
21631009	14	177	5.837072ms	2.13133ms
21631021	14	149	6.709013ms	4.316925ms
21631037	14	221	7.018333ms	1.890498ms
21631051	14	108	7.23515ms	5.01768ms
21631060	14	243	9.796544ms	3.081962ms
21631065	14	249	8.661116ms	2.407622ms
21631115	14	174	7.84151ms	2.558338ms
21631117	14	166	5.993778ms	1.524477ms
21631144	14	157	8.824096ms	2.773431ms
21631187	14	157	6.700865ms	2.75928ms
21631212	14	139	5.386909ms	1.677392ms
21631225	14	176	6.58271ms	2.399951ms
21631228	14	169	6.404217ms	1.515807ms
21631256	14	177	6.475803ms	1.757249ms
21631258	14	161	6.359698ms	1.884983ms
21631269	14	147	4.976685ms	1.43389ms
21631299	14	69	1.26458ms	1.279966ms
21631322	14	182	5.622351ms	1.715984ms
21631328	14	162	8.994651ms	3.230539ms
21631329	14	133	5.043332ms	1.556545ms
21631341	14	116	5.252576ms	1.663513ms
21631361	14	251	10.667589ms	2.546925ms
21631375	14	215	9.472589ms	2.4264ms
21631381	14	213	8.651247ms	2.915614ms
21631391	14	110	6.305416ms	3.718257ms
21631395	14	162	6.314128ms	2.302527ms
21631399	14	157	6.740259ms	3.781565ms
21631403	14	226	10.953294ms	6.80048ms
21631405	14	141	5.149424ms	1.775677ms
21631421	14	148	7.014638ms	2.546304ms
21631449	14	204	8.304517ms	2.819074ms
21631466	14	172	7.197495ms	2.234369ms
21631489	14	190	8.431572ms	4.31757ms
21631499	14	148	8.061164ms	2.631009ms
21631525	14	239	10.132304ms	3.163086ms
21631533	14	178	5.846929ms	2.327987ms
21631557	14	302	14.193059ms	5.619877ms
21631611	14	160	5.651705ms	4.190868ms
21631640	14	133	5.6624ms	2.36609ms
21631654	14	217	7.574855ms	2.335231ms
21631655	14	158	5.511356ms	1.930545ms
21631662	14	254	4.960413ms	2.763282ms
21631673	14	175	5.808774ms	2.19658ms
21631707	14	188	7.080484ms	3.034286ms
21631778	14	212	7.25042ms	2.941133ms
21631794	14	320	8.393135ms	2.576785ms
21631795	14	188	6.866312ms	2.865022ms
21631798	14	221	6.935864ms	1.993579ms
21631857	14	308	9.253499ms	4.536628ms
21631902	14	116	5.011922ms	2.171393ms
21631908	14	205	9.099016ms	2.673729ms
21631918	14	108	3.752908ms	1.289904ms
21631922	14	158	9.482494ms	3.839116ms
21631924	14	163	6.730814ms	2.41501ms
21631925	14	148	5.816567ms	2.27977ms
21631937	14	154	8.144965ms	5.226439ms
21631938	14	289	10.246378ms	4.62044ms
21631940	14	156	5.88166ms	2.198436ms
21631971	14	134	3.934045ms	1.734406ms
21631983	14	101	5.716887ms	3.502589ms
21631986	14	191	6.898247ms	1.983669ms
21632006	14	280	14.087486ms	5.685625ms
21632017	14	55	2.435105ms	1.493026ms
21632033	14	178	9.813625ms	5.748611ms
21632051	14	139	5.316086ms	2.360896ms
21632053	14	107	9.241731ms	4.65771ms
21632055	14	65	1.534659ms	1.527346ms
21632080	14	173	5.280382ms	2.573113ms
21632090	14	166	10.717244ms	4.887417ms
21632179	14	227	12.024966ms	3.889875ms
21632191	14	63	4.03116ms	3.404236ms
21632210	14	208	13.448518ms	5.620979ms
21632220	14	173	9.83003ms	7.329197ms
21632248	14	202	6.792212ms	3.226897ms
21632264	14	148	3.492225ms	2.102848ms
21632277	14	97	1.675267ms	826.146µs
21632280	14	227	13.053317ms	4.941021ms
21632289	14	228	7.81709ms	2.150044ms
21632301	14	146	5.902081ms	1.817176ms
21632302	14	161	6.892715ms	2.509704ms
21632321	14	191	7.180693ms	2.732028ms
21632323	14	234	10.496984ms	4.895884ms
21632374	14	114	4.542982ms	2.764369ms
21632388	14	215	6.658262ms	2.212641ms
21632427	14	298	10.61827ms	3.11033ms
21632465	14	183	8.252517ms	2.686829ms
21632495	14	244	8.710617ms	2.461851ms
21632496	14	179	6.225062ms	3.065102ms
21632524	14	166	8.717458ms	7.403788ms
21632539	14	202	9.658456ms	12.423891ms
21632612	14	131	7.492535ms	3.004752ms
21632615	14	192	8.413519ms	3.10795ms
21632635	14	333	13.128075ms	3.258305ms
21632663	14	181	9.189335ms	6.568377ms
21632673	14	200	8.45375ms	3.641358ms
21632677	14	167	5.698868ms	1.45742ms
21632679	14	167	6.574124ms	2.563305ms
21632693	14	188	9.045926ms	3.128034ms
21632751	14	225	8.32209ms	7.491424ms
21632761	14	53	1.29672ms	1.290542ms
21632835	14	181	7.198357ms	2.812261ms
21632879	14	137	14.79297ms	8.870864ms
21632889	14	230	9.560616ms	2.897498ms
21632907	14	134	6.552349ms	2.58264ms
21632935	14	168	10.387239ms	3.853283ms
21632952	14	129	4.516609ms	2.069375ms
21632980	14	170	7.599624ms	2.376913ms
21632995	14	248	14.757018ms	4.988234ms
21633042	14	248	10.068579ms	4.106604ms
21633064	14	131	5.856183ms	2.489083ms
21633074	14	188	6.480076ms	2.730516ms
21633101	14	203	11.339793ms	8.208726ms
21633103	14	175	9.101359ms	7.29753ms
21633114	14	209	11.346142ms	6.785364ms
21633122	14	130	8.252389ms	3.50026ms
21633146	14	156	5.536576ms	3.417079ms
21633163	14	243	13.55176ms	7.468949ms
21633186	14	199	8.228598ms	9.414592ms
21633207	14	161	6.056301ms	3.351251ms
21633212	14	80	7.695199ms	6.407277ms
21633243	14	237	12.445074ms	7.446412ms
21633254	14	141	8.983943ms	3.933662ms
21633268	14	192	7.416589ms	2.525366ms
21633342	14	174	8.129417ms	5.199859ms
21633351	14	173	7.450647ms	4.212292ms
21633376	14	160	7.772078ms	2.933704ms
21633394	14	245	11.23985ms	7.35817ms
21633416	14	202	7.236773ms	2.727969ms
21633427	14	273	8.782425ms	2.648983ms
21633435	14	165	5.685047ms	2.415914ms
21633484	14	152	7.49074ms	2.340504ms
21633486	14	315	13.44845ms	5.250479ms
21633492	14	157	6.020535ms	2.865284ms
21633508	14	256	10.244731ms	5.042425ms
21633509	14	89	3.627325ms	2.109465ms
21633666	14	230	8.046363ms	3.827119ms
21633673	14	163	9.454879ms	4.664681ms
21633675	14	230	7.713529ms	3.535784ms
21633709	14	232	6.10435ms	6.437891ms
21633726	14	146	5.849766ms	2.449323ms
21633728	14	267	11.822804ms	4.167622ms
21633737	14	121	6.501403ms	3.625366ms
21633746	14	111	4.596669ms	2.120416ms
21633768	14	144	6.258524ms	3.631017ms
21633769	14	66	3.13789ms	3.199214ms
21633784	14	200	16.653304ms	11.977849ms
21633786	14	174	11.908312ms	7.271669ms
21633795	14	226	16.505082ms	9.669498ms
21633808	14	135	9.082269ms	9.320487ms
21633813	14	154	10.360658ms	12.144725ms
21633814	14	185	19.178115ms	20.825615ms
21633847	14	121	7.17411ms	5.846316ms
21633875	14	222	11.381377ms	7.764152ms
21633882	14	141	9.09938ms	7.74712ms
21633905	14	123	10.957189ms	11.183784ms
21633946	14	124	3.683374ms	5.133715ms
21633989	14	180	11.994135ms	10.473002ms
21634017	14	167	12.284086ms	10.166481ms
21634069	14	53	4.956843ms	3.620468ms
21634083	14	149	5.825798ms	5.405659ms
21634092	14	179	9.286151ms	9.627222ms
21634098	14	212	12.20595ms	7.645502ms
21634102	14	144	7.537625ms	6.526966ms
21634122	14	220	15.170363ms	10.217031ms
21634175	14	161	9.282619ms	3.323238ms
21634192	14	180	10.272225ms	6.946745ms
21634221	14	250	16.370909ms	12.126335ms
21634230	14	95	5.334563ms	3.976293ms
21634260	14	67	26.267179ms	23.896448ms
21634268	14	114	10.645524ms	10.689393ms
21634286	14	236	14.604827ms	12.071579ms
21634302	14	138	7.69944ms	7.516658ms
21634304	14	210	14.82954ms	10.447548ms
21634340	14	224	12.932601ms	11.957255ms
21634352	14	163	9.963678ms	16.208738ms
21634353	14	169	9.445361ms	6.410641ms
21634380	14	121	8.486277ms	13.999022ms
21634401	14	84	3.666974ms	3.89707ms
21634431	14	154	10.46817ms	8.581205ms
21634433	14	277	15.544425ms	11.128225ms
21634458	14	176	18.78494ms	24.438446ms
21634472	14	122	6.459104ms	4.675964ms
21634535	14	261	11.877089ms	7.405976ms
21634556	14	124	5.542721ms	3.362087ms
21634572	14	286	17.706162ms	13.486813ms
21634577	14	120	10.330422ms	10.877782ms
21634596	14	193	11.243501ms	5.615306ms
21634625	14	76	4.09174ms	2.912681ms
21634653	14	179	9.24799ms	4.170185ms
21634669	14	222	9.108087ms	4.900235ms
21634706	14	70	2.167375ms	1.472708ms
21634833	14	221	15.333417ms	6.900202ms
21634835	14	140	8.622467ms	4.399087ms
21634843	14	97	1.805171ms	2.258658ms
21634858	14	127	9.273685ms	9.370021ms
21634866	14	138	10.544487ms	7.636624ms
21634904	14	251	17.518733ms	16.069822ms
21634921	14	196	10.464422ms	9.373684ms
21634944	14	152	13.24812ms	11.284109ms
21634982	14	116	8.060297ms	7.241863ms
21634995	14	144	7.553459ms	4.252307ms
21634999	14	160	10.501303ms	7.088609ms
21635020	14	137	12.619865ms	13.08601ms
21635102	14	134	8.253267ms	7.154104ms
21635113	14	83	4.422408ms	2.868353ms
21635126	14	270	16.008834ms	11.799405ms
21635191	14	177	10.40684ms	6.954222ms
21635197	14	183	13.334334ms	9.230499ms
21635210	14	208	11.96813ms	9.780471ms
21635218	14	159	8.82046ms	6.604123ms
21635219	14	183	9.042353ms	8.115961ms
21635250	14	240	17.276205ms	6.926609ms
21635266	14	186	11.81949ms	6.135137ms
21635291	14	159	9.346692ms	8.631115ms
21635293	14	164	9.261027ms	6.344576ms
21635301	14	166	9.609523ms	5.892775ms
21635302	14	177	11.747266ms	6.700105ms
21635310	14	268	16.778847ms	9.107773ms
21635313	14	188	11.34778ms	9.697823ms
21635314	14	144	10.811717ms	9.349572ms
21635336	14	211	17.063531ms	14.801217ms
21635377	14	186	22.82071ms	15.557225ms
21635382	14	151	13.277019ms	10.426544ms
21635385	14	180	5.949738ms	6.549734ms
21635386	14	101	9.248254ms	8.633123ms
21635395	14	149	8.47533ms	3.860069ms
21635408	14	171	11.071767ms	6.152918ms
21635429	14	153	8.914427ms	4.978895ms
21635432	14	167	12.988142ms	13.257595ms
21635556	14	229	18.491723ms	13.597525ms
21635575	14	172	11.369655ms	6.741507ms
21635592	14	159	10.526157ms	7.498196ms
21635600	14	378	12.785584ms	4.98641ms
21635601	14	64	7.29794ms	6.128066ms
21635613	14	19	7.499742ms	5.288444ms
21635652	14	157	5.670371ms	2.473264ms
21635667	14	119	6.615198ms	2.412109ms
21635672	14	136	6.614416ms	3.086044ms
21635675	14	170	9.6077ms	4.918422ms
21635693	14	221	7.143444ms	5.712281ms
21635704	14	190	11.36088ms	4.336453ms
21635757	14	453	11.757341ms	14.77602ms
21635787	14	185	8.717855ms	2.820449ms
21635834	14	123	6.94623ms	3.877227ms
21635867	14	118	5.61771ms	2.78073ms
21635882	14	275	10.289279ms	3.52851ms
21635925	14	146	7.952289ms	4.013308ms
21635932	14	284	14.98491ms	6.337534ms
21635946	14	104	3.72264ms	2.032403ms
21635963	14	190	11.070686ms	7.185206ms
