Block No	Threads	Block Size	Williams Time
18000581	16	131	0.680000ms
18000582	16	138	0.614000ms
18000583	16	136	0.714000ms
18000584	16	137	0.706000ms
18000585	16	133	0.879000ms
18000586	16	124	0.708000ms
18000587	16	159	0.403000ms
18000588	16	170	1.037000ms
18000589	16	124	0.701000ms
18000590	16	142	0.722000ms
18000591	16	143	1.330000ms
18000592	16	147	0.643000ms
18000593	16	150	0.791000ms
18000594	16	147	0.723000ms
18000595	16	144	0.699000ms
18000596	16	143	0.701000ms
18000597	16	137	0.524000ms
18000598	16	124	0.647000ms
18000599	16	144	1.167000ms
18000600	16	107	0.759000ms
18000601	16	121	0.677000ms
18000602	16	145	0.648000ms
18000603	16	123	0.632000ms
18000604	16	174	0.659000ms
18000605	16	120	0.677000ms
18000606	16	127	1.115000ms
18000607	16	118	0.493000ms
18000608	16	139	0.958000ms
18000609	16	119	0.614000ms
18000610	16	158	0.680000ms
18000611	16	122	0.626000ms
18000612	16	133	0.941000ms
18000613	16	146	0.608000ms
18000614	16	116	1.162000ms
18000615	16	137	0.696000ms
18000616	16	121	0.574000ms
18000617	16	109	0.628000ms
18000618	16	148	0.652000ms
18000619	16	78	0.570000ms
18000620	16	157	0.821000ms
18000621	16	139	0.636000ms
18000622	16	113	0.614000ms
18000623	16	276	1.340000ms
18000624	16	100	0.732000ms
18000625	16	129	0.993000ms
18000626	16	106	0.627000ms
18000627	16	124	0.803000ms
18000628	16	160	0.382000ms
18000629	16	106	0.303000ms
18000630	16	155	0.782000ms
18000631	16	131	0.626000ms
18000632	16	190	0.866000ms
18000633	16	120	0.598000ms
18000634	16	147	0.328000ms
18000635	16	141	0.735000ms
18000636	16	131	1.016000ms
18000637	16	108	0.597000ms
18000638	16	161	0.507000ms
18000639	16	114	1.185000ms
18000640	16	128	0.541000ms
18000641	16	411	0.688000ms
18000642	16	108	0.539000ms
18000643	16	163	0.811000ms
18000644	16	151	0.795000ms
18000645	16	128	0.717000ms
18000646	16	136	0.321000ms
